rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
1,"Mediterranean Shipping Company (MSC)","Geneva, Switzerland","Chemin Rieu 12-14, 1208 Geneva, Switzerland","+41 22 703 8888","msc.com","Global Bunker Procurement & Energy Transition Desk","Head of Marine Fuels / Director of Decarbonization","Soren Toft (CEO) / Bud Darr (EVP Maritime Policy & ESG)","Container Liner",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Valencia, Piraeus, Gioia Tauro",420,"Tier 1: Mega-Deficit (>€10M / year) · Mega-Deficit / Active LNG & Biofuel Offtaker",2850000,240000,60000,36123333,90.78,-187401,120842392,132926631,-661593.4,426617466,20158.4,274938,42722.8,111219572,4124066,87110215,4685025,"With 420 EU-scope vessels creating a €120.8M FuelEU penalty exposure in 2025, MSC faces immediate compliance liability. Our desk can structure physical delivery of 274.9 GWh of ISCC-certified manure Bio-LNG (-100 CI) or Article 21 pool allocation across ARA ports, securing up to €111.2M in net client compliance savings.",DUAL_FUEL_LNG,10,410,6866538,480657660,686653800,601500052
2,"A.P. Moller - Maersk","Copenhagen, Denmark","Esplanaden 50, 1098 Copenhagen K, Denmark","+45 33 63 33 63","maersk.com","Decarbonization & Green Fuels Sourcing Desk","Head of Energy Transition / Head of Green Fuels Sourcing","Vincent Clerc (CEO) / Morten Bo Christiansen (Head of Energy Transition)","Container Liner",BALTIC_NORDIC,ASIA_EUROPE,"Rotterdam, Bremerhaven, Algeciras, Aarhus, Gdansk",290,"Tier 1: Mega-Deficit (>€10M / year) · Green Methanol Pioneer & Dual-Fuel Bunkering",1650000,180000,0,20926667,91.15,-136891.4,87908022,96698824,-411596.6,264316356,14725.2,200835,31207.9,80878808,3012520,63267564,3422286,"Facing an €87.9M 2025 FuelEU penalty deficit across 290 vessels prior to full green methanol fleet deployment, Maersk requires bridging compliance volume. Our desk delivers 200.8 GWh of high-density biomethane and Article 21 surplus pooling in Baltic and ARA corridors, unlocking €80.9M in net client penalty avoidance.",CONVENTIONAL_ONLY,0,290,4000626,280043820,400062600,367951842
3,"COSCO Shipping Lines / OOCL","Shanghai, China / Hong Kong","378 Dongdaming Road, Hongkou District, Shanghai 200080, China","+86 21 6596 6666","lines.coscoshipping.com","Marine Fuel Procurement & European Regulatory Compliance","Director of Bunker Management & Fleet Decarbonization","Tao Weidong (Chairman) / Chen Shuai (VP)","Container Liner",CENTRAL_MED_ADRIATIC,ASIA_EUROPE,"Piraeus, Rotterdam, Antwerp, Valencia",180,"Tier 1: Mega-Deficit (>€10M / year) · Piraeus Hub Anchor / High Deficit Exposure",1200000,110000,0,14971389,91.15,-97983.2,62921571,69213728,-294513.2,189126664,10539.9,143752,22337.8,57890249,2156281,45284597,2449580,"Operating 180 vessels into Piraeus and ARA hubs creates a €62.9M FuelEU penalty exposure in 2025. We can execute an Article 21 compliance pool arrangement or supply 143.8 GWh of negative-CI Bio-LNG into Piraeus and Rotterdam to net €57.9M in direct client savings.",CONVENTIONAL_ONLY,0,180,2862622,200383540,286262200,263305111
4,"Ocean Network Express (ONE)","Singapore / Tokyo, Japan","7 Straits View, Marina One East Tower #16-01/03, Singapore 018936","+65 6890 1800","one-line.com","Green Strategy & Bunker Fuel Procurement Division","Managing Director Green Strategy / Global Bunker Lead","Jeremy Nixon (CEO) / Hiroki Tsujii (MD Product & Network)","Container Liner",ARA_HUB,ASIA_EUROPE,"Rotterdam, Hamburg, Southampton, Le Havre",125,"Tier 1: Mega-Deficit (>€10M / year) · Pure Deficit Fleet / Needs Bio-LNG or Pooling",820000,75000,0,10228472,91.15,-66942.6,42988344,47287178,-201212.2,129211816,7200.9,98212,15261.3,39550918,1473182,30938670,1673566,"ONE's 125 vessels calling Rotterdam, Hamburg, and Southampton run a 100% conventional fuel deficit totaling €43.0M in 2025 penalties. We provide 98.2 GWh of certified Bio-LNG or bilateral Article 21 pooling to eliminate 66,943 tCO2e of deficit, generating €39.6M in net savings.",CONVENTIONAL_ONLY,0,125,1955751,136902570,195575100,179890914
5,"Evergreen Marine Corporation","Taipei, Taiwan","No. 163, Sec. 2, Minsheng E. Rd., Zhongshan Dist., Taipei 10457, Taiwan","+886 2 2505 7766","evergreen-marine.com","Marine Operations & Green Energy Planning","Executive Vice President Marine Fuels & Environmental Safety","Eric Hsieh (President) / Y.L. Kuo (VP)","Container Liner",UK_CONTINENT,ASIA_EUROPE,"Rotterdam, Antwerp, Felixstowe, Taranto",110,"Tier 1: Mega-Deficit (>€10M / year) · High Conventional Burn / Exposed to Multipliers",780000,68000,0,9689889,91.16,-63425.6,40729699,44802668,-190625.1,122412847,6822.6,93052,14459.5,37472870,1395783,29313097,1585639,"With 110 vessels generating a 63,426 tCO2e deficit and €40.7M in Year 1 penalties across UK-Continent corridors, Evergreen faces steep Year 2 escalation. Our biomethane trading desk structures 93.1 GWh of negative-CI Bio-LNG off-take and Article 21 pooling to deliver €37.5M in verifiable bottom-line savings.",CONVENTIONAL_ONLY,0,110,1852849.6,129699472,185284960,170429171
6,"Grimaldi Group","Naples, Italy","Via Marchese Campodisola 13, 80133 Naples, Italy","+39 081 496 111","grimaldi.napoli.it","Energy Saving, Decarbonization & Bunkering Department","Head of Energy Saving & Fleet Environmental Compliance","Emanuele Grimaldi (Managing Director) / Dario Bocchetti (Head of Energy Saving)","European Ferry & Ro-Ro",CENTRAL_MED_ADRIATIC,INTRA_EU_FEEDER,"Civitavecchia, Barcelona, Antwerp, Helsinki, Palermo",130,"Tier 1: Mega-Deficit (>€10M / year) · Largest Short-Sea Ferry Operator / Severe 100% Intra-EU Exposure",450000,380000,0,9632222,91.13,-62247.7,39983455,43981800,-188690.3,121201054,6695.9,91324,14191,36787107,1369863,28778865,1556193,"As Europe's leading short-sea operator with 100% intra-EU voyage exposure across 130 Ro-Ro vessels, Grimaldi faces a severe €40.0M FuelEU penalty. We structure 91.3 GWh of tailored Mediterranean Bio-LNG and Article 21 pooling allocations delivering €36.8M in client cost savings.",CONVENTIONAL_ONLY,0,130,1833706,128359420,183370600,168342875
7,"Oldendorff Carriers","Lubeck, Germany","Willy-Brandt-Allee 6, 23554 Lubeck, Germany","+49 451 1200 0","oldendorff.com","Green Transition & Fuel Bunkering Department","Managing Director Green Transition / Head of Bunkering","Peter Twiss (CEO) / Scott Jones (MD Green Transition)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Rotterdam, Hamburg, Bremen, Antwerp",135,"Tier 1: Mega-Deficit (>€10M / year) · Private German Bulker Titan / Active in Biofuel Bunkering",690000,75000,0,8747917,91.15,-57225,36748343,40423177,-172059.2,110491815,6155.6,83955,13045.9,33809907,1259329,26447847,1430624,"Discharging dry bulk across ARA and German ports with 135 vessels generates a €36.7M FuelEU penalty deficit. Our desk can fulfill Oldendorff's 84.0 GWh bio-equivalent requirement via certified Baltic/ARA biomethane certificates or Article 21 pool agreements, capturing €33.8M in net value.",CONVENTIONAL_ONLY,0,135,1672377,117066390,167237700,153814733
8,"Star Bulk Carriers","Athens, Greece","40 Agiou Konstantinou Str., Maroussi 15124, Athens, Greece","+30 214 406 0200","starbulk.com","Technical & Commercial Energy Efficiency Division","Chief Operating Officer / VP Environmental Compliance","Petros Pappas (CEO) / Hamish Norton (President)","Dry Bulk Carrier",ARA_HUB,TRANSATLANTIC,"Rotterdam, Ijmuiden, Gibraltar, Dunkirk",120,"Tier 1: Mega-Deficit (>€10M / year) · Largest US-Listed Dry Bulk / Heavy ARA Coal & Ore Discharges",620000,65000,0,7832083,91.15,-51239.5,32904564,36195020,-154051.6,98927573,5511.7,75174,11681.4,30273475,1127609,23681453,1280988,"With 120 bulkers exposed to €32.9M in statutory penalties from European raw material imports, Star Bulk requires agile compliance structures. Our desk delivers bilateral Article 21 pooling and 75.2 GWh of physical Bio-LNG at ARA discharge terminals, netting €30.3M in direct savings.",CONVENTIONAL_ONLY,0,120,1497349,104814430,149734900,137718994
9,"Hafnia (BW Group)","Singapore / Copenhagen","10 Pasir Panjang Road, Mapletree Business City #18-01, Singapore 117438","+65 6434 3888","hafniabw.com","Commercial Pool Management & Bunker Sourcing","Vice President Technical & Commercial Bunker Lead","Mikael Skov (CEO) / Perry van der Meer (VP Technical)","Product Tanker",ARA_HUB,ME_AFRICA_EU_LIQUID,"Rotterdam, Antwerp, Malta, Gibraltar",115,"Tier 1: Mega-Deficit (>€10M / year) · Largest Product Tanker Pool / Pool Compliance Target",520000,62000,0,6657611,91.15,-43538.5,27959429,30755372,-130933.2,84082300,4683.4,63876,9925.7,25723777,958136,20122496,1088463,"Managing 115 product tankers into ARA and Mediterranean refineries incurs a €28.0M FuelEU compliance deficit. By integrating our 63.9 GWh biomethane pooling mechanism into Hafnia's commercial pools, members avoid penalties and retain €25.7M in net pool savings.",CONVENTIONAL_ONLY,0,115,1272636.4,89084548,127263640,117043977
10,"Yang Ming Marine Transport","Keelung, Taiwan","No. 271, Mingde 1st Rd., Qidu Dist., Keelung 20646, Taiwan","+886 2 2455 9988","yangming.com","Fuel Management Department & Sustainability Taskforce","General Manager Fuel Management / VP Operations","Cheng-Mount Cheng (Chairman) / Patrick Tu (President)","Container Liner",ARA_HUB,ASIA_EUROPE,"Rotterdam, Hamburg, Antwerp",65,"Tier 1: Mega-Deficit (>€10M / year) · Pure Deficit Carrier",460000,42000,0,5737056,91.15,-37547.7,24111873,26523060,-112858.2,72473817,4038.9,55087,8559.9,22183844,826298,17353291,938692,"Yang Ming's 65 container vessels on the Asia-Europe route face a €24.1M FuelEU compliance fine in 2025. We can clear your 37,548 tCO2e deficit with 55.1 GWh of negative-CI Bio-LNG or Article 21 pool transfer, unlocking €22.2M in client cost relief.",CONVENTIONAL_ONLY,0,65,1096964.4,76787508,109696440,100899381
